city,timestamp,temperature,humidity,pressure,wind_speed,weather_desc,aqi,pm25,pm10,no2,o3
Marrakech,2026-05-02 01:23:49.230122,16.98,72.0,1018.0,2.57,clear sky,2.0,13.14,31.68,1.87,85.65
Rabat,2026-05-02 01:23:49.230122,11.37,100.0,1019.0,0.0,broken clouds,2.0,3.58,7.34,3.28,80.51
Agadir,2026-05-02 01:29:12.725070,16.06,86.0,1018.0,4.39,few clouds,2.0,3.64,9.51,0.26,97.82
Tanger,2026-05-02 01:29:12.725070,17.74,72.0,1018.0,2.06,clear sky,2.0,3.23,7.88,1.6,96.62
Marrakech,2026-05-02 01:29:12.725070,16.98,72.0,1018.0,2.57,clear sky,2.0,13.14,31.68,1.87,85.65
Rabat,2026-05-02 01:29:12.725070,11.37,100.0,1019.0,0.0,broken clouds,2.0,3.58,7.34,3.28,80.51
Agadir,2026-05-02 02:23:58.847871,15.06,87.0,1017.0,4.39,scattered clouds,2.0,3.19,8.79,0.24,97.12
Tanger,2026-05-02 02:23:58.847871,16.74,77.0,1018.0,2.06,clear sky,2.0,3.13,7.77,1.44,93.8
Marrakech,2026-05-02 02:23:58.847871,14.98,82.0,1018.0,1.54,clear sky,2.0,13.23,31.16,1.63,82.13
Rabat,2026-05-02 02:23:58.847871,11.36,100.0,1019.0,0.0,scattered clouds,2.0,3.7,7.6,2.88,78.56
Agadir,2026-05-02 02:29:22.338535,15.06,85.0,1017.0,4.39,scattered clouds,2.0,3.19,8.79,0.24,97.12
Tanger,2026-05-02 02:29:22.338535,16.74,77.0,1018.0,2.06,clear sky,2.0,3.13,7.77,1.44,93.8
Marrakech,2026-05-02 02:29:22.338535,14.98,82.0,1018.0,1.54,clear sky,2.0,13.23,31.16,1.63,82.13
Rabat,2026-05-02 02:29:22.338535,11.37,100.0,1019.0,0.0,scattered clouds,2.0,3.7,7.6,2.88,78.56
Agadir,2026-05-02 03:24:08.684789,15.06,85.0,1017.0,2.48,broken clouds,2.0,2.74,7.97,0.24,95.44
Tanger,2026-05-02 03:24:08.684789,16.74,77.0,1017.0,2.06,clear sky,2.0,3.08,7.81,1.36,90.65
Marrakech,2026-05-02 03:24:08.684789,14.98,82.0,1017.0,1.03,clear sky,2.0,13.33,30.44,1.55,77.02
Rabat,2026-05-02 03:24:08.684789,12.37,100.0,1018.0,0.0,broken clouds,2.0,3.81,7.87,2.56,77.32
Agadir,2026-05-02 03:29:32.153822,15.06,85.0,1017.0,2.48,broken clouds,2.0,2.74,7.97,0.24,95.44
Tanger,2026-05-02 03:29:32.153822,16.74,77.0,1017.0,2.06,clear sky,2.0,3.08,7.81,1.36,90.65
Marrakech,2026-05-02 03:29:32.153822,14.98,82.0,1017.0,1.03,clear sky,2.0,13.33,30.44,1.55,77.02
Rabat,2026-05-02 03:29:32.153822,12.37,100.0,1018.0,0.0,broken clouds,2.0,3.81,7.87,2.56,77.32
Agadir,2026-05-02 04:24:18.492037,14.06,85.0,1017.0,0.67,broken clouds,2.0,2.44,7.26,0.24,93.52
Tanger,2026-05-02 04:24:18.492037,15.74,88.0,1017.0,2.57,clear sky,2.0,3.09,7.92,1.33,88.2
Marrakech,2026-05-02 04:24:18.492037,14.98,82.0,1017.0,1.03,clear sky,2.0,13.52,30.03,1.51,72.51
Rabat,2026-05-02 04:24:18.492037,14.37,100.0,1018.0,0.0,broken clouds,2.0,3.95,8.1,2.32,76.23
Agadir,2026-05-02 04:29:41.934718,14.06,85.0,1017.0,0.67,broken clouds,2.0,2.44,7.26,0.24,93.52
