timestamp,city,lat,lon,temperature,humidity,pressure,wind_speed,weather_description,aqi,no2,o3,pm2_5,pm10,source_file,year,month,day,hour,split
2026-04-28 15:24:20.000000,Rabat,34.0209,-6.8416,22.37,73.0,1010.0,4.12,broken clouds,2.0,0.81,96.68,2.78,6.55,raw_collecte_principale.csv,2026,4,28,15,train
2026-04-28 15:24:27.000000,Marrakech,31.6295,-7.9811,20.98,68.0,1010.0,2.57,broken clouds,2.0,0.5,91.45,3.37,8.2,raw_collecte_principale.csv,2026,4,28,15,train
2026-04-28 15:24:34.000000,Fes,34.0331,-5.0003,23.08,64.0,1008.0,3.09,broken clouds,2.0,0.17,89.34,4.48,10.14,raw_collecte_principale.csv,2026,4,28,15,train
2026-04-28 16:24:40.000000,Casablanca,33.5731,-7.5898,19.01,82.0,1010.0,4.63,broken clouds,3.0,0.44,100.55,3.61,8.23,raw_collecte_principale.csv,2026,4,28,16,train
2026-04-28 16:24:47.000000,Rabat,34.0209,-6.8416,21.37,78.0,1009.0,3.6,broken clouds,2.0,0.95,97.69,3.24,7.01,raw_collecte_principale.csv,2026,4,28,16,train
2026-04-28 16:24:53.000000,Marrakech,31.6295,-7.9811,21.98,64.0,1009.0,2.57,broken clouds,2.0,0.44,91.45,3.51,8.49,raw_collecte_principale.csv,2026,4,28,16,train
2026-04-28 16:25:00.000000,Fes,34.0331,-5.0003,23.08,60.0,1007.0,3.09,light rain,2.0,0.19,88.58,4.15,9.05,raw_collecte_principale.csv,2026,4,28,16,train
2026-04-28 19:24:29.000000,Casablanca,33.5731,-7.5898,18.95,77.0,1010.0,3.09,broken clouds,3.0,1.05,100.08,7.47,13.49,raw_collecte_principale.csv,2026,4,28,19,train
2026-04-28 19:24:40.000000,Rabat,34.0209,-6.8416,19.37,88.0,1010.0,2.57,overcast clouds,2.0,2.49,97.66,7.35,12.6,raw_collecte_principale.csv,2026,4,28,19,train
2026-04-28 19:24:49.000000,Marrakech,31.6295,-7.9811,19.98,68.0,1009.0,3.09,broken clouds,2.0,0.95,91.25,3.24,7.02,raw_collecte_principale.csv,2026,4,28,19,train
2026-04-28 19:24:57.000000,Fes,34.0331,-5.0003,21.08,73.0,1009.0,4.12,light rain,2.0,0.58,85.2,3.08,5.9,raw_collecte_principale.csv,2026,4,28,19,train
2026-04-28 20:25:06.000000,Casablanca,33.5731,-7.5898,18.44,80.0,1011.0,2.68,broken clouds,2.0,1.28,97.7,8.19,14.96,raw_collecte_principale.csv,2026,4,28,20,train
2026-04-28 20:25:15.000000,Rabat,34.0209,-6.8416,18.37,94.0,1010.0,1.54,overcast clouds,2.0,2.71,95.17,8.13,14.43,raw_collecte_principale.csv,2026,4,28,20,train
2026-04-28 20:25:27.000000,Marrakech,31.6295,-7.9811,19.98,68.0,1009.0,2.06,broken clouds,2.0,1.15,88.88,2.91,6.57,raw_collecte_principale.csv,2026,4,28,20,train
