timestamp,city,lat,lon,temperature,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,visibility,weather_main,weather_description,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,source_file
2026-05-01 10:16:50.800416,Agadir,30.4278,-9.5981,20.06,,78.0,1018.0,1.77,,,,,overcast clouds,2.0,,,0.41,86.57,,2.34,9.39,,raw_collecte_mohammed.csv
2026-05-01 10:16:50.800416,Tanger,35.7595,-5.834,18.74,,72.0,1020.0,3.09,,,,,broken clouds,2.0,,,2.33,83.56,,2.81,6.71,,raw_collecte_mohammed.csv
2026-05-01 10:16:50.800416,Marrakech,31.6295,-7.9811,18.98,,72.0,1018.0,2.06,,,,,scattered clouds,2.0,,,4.42,60.27,,5.1,11.64,,raw_collecte_mohammed.csv
2026-05-01 10:16:50.800416,Rabat,34.0209,-6.8416,19.35,,68.0,1019.0,2.06,,,,,few clouds,2.0,,,4.29,69.49,,5.74,10.38,,raw_collecte_mohammed.csv
2026-05-01 11:16:23.806704,Agadir,30.4278,-9.5981,22.06,,75.0,1019.0,2.78,,,,,overcast clouds,2.0,,,0.38,86.08,,2.71,11.15,,raw_collecte_mohammed.csv
2026-05-01 11:16:23.806704,Tanger,35.7595,-5.834,18.74,,68.0,1020.0,2.57,,,,,broken clouds,2.0,,,0.87,98.72,,2.38,5.91,,raw_collecte_mohammed.csv
2026-05-01 11:16:23.806704,Marrakech,31.6295,-7.9811,20.98,,68.0,1018.0,1.03,,,,,scattered clouds,2.0,,,1.23,81.87,,4.72,11.9,,raw_collecte_mohammed.csv
2026-05-01 11:16:23.806704,Rabat,34.0209,-6.8416,21.37,,60.0,1019.0,2.06,,,,,few clouds,2.0,,,2.75,87.66,,6.33,10.95,,raw_collecte_mohammed.csv
2026-05-01 12:16:33.665801,Agadir,30.4278,-9.5981,23.06,,74.0,1018.0,3.4,,,,,overcast clouds,2.0,,,0.34,85.33,,3.32,13.77,,raw_collecte_mohammed.csv
2026-05-01 12:16:33.665801,Tanger,35.7595,-5.834,19.74,,64.0,1020.0,2.57,,,,,broken clouds,3.0,,,0.57,101.93,,2.33,5.65,,raw_collecte_mohammed.csv
2026-05-01 12:16:33.665801,Marrakech,31.6295,-7.9811,22.98,,56.0,1017.0,2.06,,,,,scattered clouds,2.0,,,0.65,87.19,,4.82,11.84,,raw_collecte_mohammed.csv
2026-05-01 12:16:33.665801,Rabat,34.0209,-6.8416,20.35,,64.0,1019.0,4.12,,,,,clear sky,2.0,,,1.8,97.15,,7.82,12.35,,raw_collecte_mohammed.csv
2026-05-01 13:16:45.674367,Agadir,30.4278,-9.5981,25.06,,74.0,1018.0,4.05,,,,,overcast clouds,2.0,,,0.29,85.05,,3.9,15.62,,raw_collecte_mohammed.csv
2026-05-01 13:16:45.674367,Tanger,35.7595,-5.834,19.74,,64.0,1019.0,3.09,,,,,broken clouds,3.0,,,0.43,103.72,,2.33,5.51,,raw_collecte_mohammed.csv
2026-05-01 13:16:45.674367,Marrakech,31.6295,-7.9811,24.0,,57.0,1017.0,1.54,,,,,scattered clouds,2.0,,,0.48,90.24,,5.21,12.42,,raw_collecte_mohammed.csv
2026-05-01 13:16:45.674367,Rabat,34.0209,-6.8416,21.37,,64.0,1019.0,4.63,,,,,clear sky,3.0,,,1.21,104.18,,9.26,13.75,,raw_collecte_mohammed.csv
2026-05-01 14:16:54.919113,Agadir,30.4278,-9.5981,25.06,,74.0,1017.0,4.96,,,,,broken clouds,2.0,,,0.24,84.68,,5.1,14.78,,raw_collecte_mohammed.csv
2026-05-01 14:16:54.919113,Tanger,35.7595,-5.834,19.74,,68.0,1019.0,3.6,,,,,broken clouds,3.0,,,0.41,105.3,,2.36,5.56,,raw_collecte_mohammed.csv
2026-05-01 14:16:54.919113,Marrakech,31.6295,-7.9811,25.98,,50.0,1016.0,2.57,,,,,scattered clouds,3.0,,,0.34,100.71,,4.2,10.18,,raw_collecte_mohammed.csv
2026-05-01 14:16:54.919113,Rabat,34.0209,-6.8416,21.37,,64.0,1019.0,5.66,,,,,broken clouds,3.0,,,0.77,111.55,,8.72,12.87,,raw_collecte_mohammed.csv
2026-05-01 15:17:04.658261,Agadir,30.4278,-9.5981,26.06,,73.0,1017.0,4.49,,,,,scattered clouds,2.0,,,0.24,86.02,,5.62,15.11,,raw_collecte_mohammed.csv
2026-05-01 15:17:04.658261,Tanger,35.7595,-5.834,20.74,,60.0,1018.0,3.6,,,,,broken clouds,3.0,,,0.41,105.64,,2.35,5.5,,raw_collecte_mohammed.csv
2026-05-01 15:17:04.658261,Marrakech,31.6295,-7.9811,26.98,,50.0,1015.0,1.54,,,,,scattered clouds,3.0,,,0.32,102.85,,4.3,10.6,,raw_collecte_mohammed.csv
2026-05-01 15:17:04.658261,Rabat,34.0209,-6.8416,21.37,,60.0,1018.0,5.66,,,,,overcast clouds,3.0,,,0.72,111.48,,7.84,11.58,,raw_collecte_mohammed.csv
2026-05-01 16:17:12.888992,Agadir,30.4278,-9.5981,25.06,,68.0,1016.0,5.17,,,,,scattered clouds,2.0,,,0.25,88.3,,6.32,15.85,,raw_collecte_mohammed.csv
2026-05-01 16:17:12.888992,Tanger,35.7595,-5.834,20.74,,56.0,1018.0,5.14,,,,,broken clouds,3.0,,,0.44,105.68,,2.33,5.59,,raw_collecte_mohammed.csv
2026-05-01 16:17:12.888992,Marrakech,31.6295,-7.9811,28.98,,39.0,1014.0,1.54,,,,,scattered clouds,3.0,,,0.35,103.35,,5.07,12.84,,raw_collecte_mohammed.csv
2026-05-01 16:17:12.888992,Rabat,34.0209,-6.8416,20.37,,64.0,1018.0,5.66,,,,,overcast clouds,3.0,,,0.83,111.7,,7.25,10.87,,raw_collecte_mohammed.csv
2026-05-01 17:17:22.656243,Agadir,30.4278,-9.5981,24.06,,65.0,1015.0,5.92,,,,,scattered clouds,2.0,,,0.28,91.56,,7.19,16.86,,raw_collecte_mohammed.csv
2026-05-01 17:17:22.656243,Tanger,35.7595,-5.834,19.74,,64.0,1018.0,5.66,,,,,broken clouds,3.0,,,0.52,105.9,,2.4,5.95,,raw_collecte_mohammed.csv
2026-05-01 17:17:22.656243,Marrakech,31.6295,-7.9811,28.98,,39.0,1014.0,2.06,,,,,scattered clouds,3.0,,,0.53,104.35,,6.84,17.51,,raw_collecte_mohammed.csv
2026-05-01 17:17:22.656243,Rabat,34.0209,-6.8416,20.37,,68.0,1018.0,5.14,,,,,overcast clouds,3.0,,,1.1,112.21,,6.67,10.26,,raw_collecte_mohammed.csv
2026-05-01 18:17:07.756242,Agadir,30.4278,-9.5981,23.06,,62.0,1015.0,5.18,,,,,scattered clouds,2.0,,,0.32,94.4,,7.69,17.1,,raw_collecte_mohammed.csv
2026-05-01 18:17:07.756242,Tanger,35.7595,-5.834,20.74,,64.0,1018.0,3.6,,,,,broken clouds,3.0,,,0.69,106.23,,2.59,6.49,,raw_collecte_mohammed.csv
2026-05-01 18:17:07.756242,Marrakech,31.6295,-7.9811,28.98,,37.0,1014.0,2.06,,,,,scattered clouds,3.0,,,0.81,104.59,,9.09,23.29,,raw_collecte_mohammed.csv
2026-05-01 18:17:07.756242,Rabat,34.0209,-6.8416,20.37,,64.0,1017.0,4.63,,,,,overcast clouds,3.0,,,1.59,111.53,,6.04,9.68,,raw_collecte_mohammed.csv
2026-05-01 19:17:17.604511,Agadir,30.4278,-9.5981,22.06,,64.0,1015.0,4.16,,,,,few clouds,2.0,,,0.35,97.0,,7.65,16.51,,raw_collecte_mohammed.csv
2026-05-01 19:17:17.604511,Tanger,35.7595,-5.834,19.74,,68.0,1018.0,2.57,,,,,clear sky,3.0,,,0.92,106.87,,2.82,7.04,,raw_collecte_mohammed.csv
2026-05-01 19:17:17.604511,Marrakech,31.6295,-7.9811,28.98,,37.0,1014.0,3.09,,,,,scattered clouds,3.0,,,1.09,103.23,,10.61,27.35,,raw_collecte_mohammed.csv
2026-05-01 19:17:17.604511,Rabat,34.0209,-6.8416,19.37,,72.0,1018.0,3.6,,,,,overcast clouds,3.0,,,2.14,107.52,,5.08,8.65,,raw_collecte_mohammed.csv
2026-05-01 20:17:27.414132,Agadir,30.4278,-9.5981,20.06,,70.0,1015.0,2.75,,,,,clear sky,2.0,,,0.35,98.93,,7.04,15.1,,raw_collecte_mohammed.csv
2026-05-01 20:17:27.414132,Tanger,35.7595,-5.834,18.74,,72.0,1018.0,1.54,,,,,clear sky,3.0,,,1.26,106.78,,3.07,7.59,,raw_collecte_mohammed.csv
2026-05-01 20:17:27.414132,Marrakech,31.6295,-7.9811,24.98,,47.0,1014.0,5.14,,,,,scattered clouds,2.0,,,1.51,98.65,,11.46,29.56,,raw_collecte_mohammed.csv
