city,timestamp,temperature,humidity,pressure,wind_speed,clouds,visibility,weather_main,weather_desc,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
Tanger,2026-05-03 14:23:55,20.64,60,1015,5.14,40,10000,Clouds,scattered clouds,2,4.74,7.02,99.02,0.58,90.73,3.8,0
Karia Ba Mohamed,2026-05-03 14:23:56,24.59,41,1014,4.1,100,10000,Clouds,overcast clouds,2,5.08,8.84,95.37,0.35,85.8,0.66,0.05
Fes,2026-05-03 14:23:58,20.14,72,1013,1.03,75,10000,Clouds,broken clouds,2,5.32,12.03,93.46,0.25,83.9,0.37,0.12
Casablanca,2026-05-03 15:24:01,20.96,64,1015,3.6,40,8000,Clouds,scattered clouds,2,3.27,7.38,97.9,0.47,87.68,4.12,0
Tanger,2026-05-03 15:24:03,19.64,68,1014,4.12,40,10000,Clouds,scattered clouds,2,4.41,6.53,98.73,0.59,89.6,3.73,0
Karia Ba Mohamed,2026-05-03 15:24:06,24.76,42,1013,4.49,100,10000,Clouds,overcast clouds,2,5,8.41,94.83,0.36,85.75,0.65,0.04
Fes,2026-05-03 15:24:08,21.14,68,1013,1.03,75,10000,Clouds,broken clouds,2,5.06,10.01,93.04,0.24,84.68,0.35,0.09
Casablanca,2026-05-03 16:24:09,20.74,64,1015,3.09,40,8000,Clouds,scattered clouds,2,2.86,6.65,98.29,0.53,86.91,4.06,0
Tanger,2026-05-03 16:24:11,19.64,73,1014,4.63,75,10000,Clouds,broken clouds,2,4.08,6.11,99.38,0.76,88.99,3.73,0
Karia Ba Mohamed,2026-05-03 16:24:12,24.73,44,1013,3.89,100,10000,Clouds,overcast clouds,2,4.97,8.08,94.88,0.48,84.04,0.68,0.09
Fes,2026-05-03 16:24:13,21.14,64,1013,2.06,75,10000,Clouds,broken clouds,2,4.95,8.47,92.81,0.36,82.93,0.37,0.13
Casablanca,2026-05-03 17:27:04,20.18,60,1015,3.09,40,8000,Clouds,scattered clouds,2,2.53,6.29,99.24,0.69,86.18,4.22,0
Tanger,2026-05-03 17:27:06,18.64,77,1014,4.12,75,10000,Clouds,broken clouds,2,3.78,5.8,100.54,1.14,87.58,3.73,0
Karia Ba Mohamed,2026-05-03 17:27:07,24.21,46,1013,5.19,100,10000,Clouds,overcast clouds,2,4.81,7.6,94.53,0.74,79.77,0.75,0.2
Fes,2026-05-03 17:27:09,21.14,68,1013,2.57,75,10000,Clouds,broken clouds,2,4.85,7.6,92.37,0.62,78.7,0.42,0.25
Casablanca,2026-05-03 18:27:10,19.7,64,1015,2.68,40,8000,Clouds,scattered clouds,2,2.3,6.09,101.24,0.91,85.88,4.43,0
Tanger,2026-05-03 18:27:12,18.64,77,1014,4.12,75,10000,Clouds,broken clouds,2,3.3,5.29,102.23,1.64,84.89,3.55,0.02
Karia Ba Mohamed,2026-05-03 18:27:14,21.59,60,1013,7.17,100,10000,Clouds,overcast clouds,2,4.5,7.04,94.02,0.96,75.62,0.83,0.32
